date,open,high,low,close,volume
2023-08-25,48.70000076293945,49.20000076293945,48.04999923706055,48.400001525878906,36732928
2023-08-28,48.900001525878906,49.29999923706055,48.5,48.70000076293945,42444304
2023-08-29,49.04999923706055,50.849998474121094,48.95000076293945,49.5,107331968
2023-08-30,50,50.849998474121094,49.599998474121094,49.79999923706055,57580129
2023-08-31,50.29999923706055,50.5,49.79999923706055,50.20000076293945,37388795
2023-09-01,50.5,56.5,50.099998474121094,55.75,236065708
2023-09-04,57.70000076293945,66.9000015258789,57.150001525878906,66.69999694824219,504243805
2023-09-05,69.75,75.69999694824219,69.5,72.25,573870002
2023-09-06,73.5,74,67.25,68.75,203998733
2023-09-07,69.0999984741211,74.5,68.19999694824219,73.1500015258789,202538874
2023-09-08,74.69999694824219,77.94999694824219,74.6500015258789,77.0999984741211,179288780
2023-09-11,81.69999694824219,84.80000305175781,81.5,84.75,169943821
2023-09-12,91,92.3499984741211,77.3499984741211,82.80000305175781,395003025
2023-09-13,79.9000015258789,84.30000305175781,75.4000015258789,78.9000015258789,238578975
2023-09-14,81,82,78.75,81.25,129797195
2023-09-15,81.75,82.1500015258789,78.75,79.3499984741211,77020431
2023-09-18,79.69999694824219,79.69999694824219,76.30000305175781,76.5999984741211,73958819
2023-09-20,76,79.44999694824219,74,77.19999694824219,76414678
2023-09-21,77.19999694824219,78.25,74,74.44999694824219,52360179
2023-09-22,75,76.0999984741211,71.3499984741211,75.0999984741211,94866289
2023-09-25,76.1500015258789,78.69999694824219,74.80000305175781,76.80000305175781,85506777
2023-09-26,77.19999694824219,77.44999694824219,75.55000305175781,75.94999694824219,33138244
2023-09-27,74.8499984741211,76.69999694824219,74.8499984741211,75.4000015258789,31966561
2023-09-28,76,76.30000305175781,74.5,74.8499984741211,25011662
2023-09-29,75.30000305175781,77.55000305175781,74.5999984741211,76.55000305175781,39254526
2023-10-03,76.8499984741211,77.80000305175781,76.30000305175781,76.5999984741211,32681918
2023-10-04,76.44999694824219,76.5999984741211,73.80000305175781,75.05000305175781,34505676
2023-10-05,75.75,75.8499984741211,74,74.3499984741211,20716740
2023-10-06,74.80000305175781,76,73.80000305175781,74.8499984741211,27407523
2023-10-09,72.6500015258789,72.94999694824219,70.3499984741211,71.1500015258789,49805228
2023-10-10,71.4000015258789,76.25,71.3499984741211,75.6500015258789,75097719
2023-10-11,76.5999984741211,77.6500015258789,75.3499984741211,75.5999984741211,45128089
2023-10-12,76.05000305175781,76.0999984741211,74.80000305175781,75.0999984741211,21587597
2023-10-13,75,78.3499984741211,74.5,76.5999984741211,78755411
2023-10-16,77.19999694824219,77.25,76.19999694824219,76.30000305175781,23187941
2023-10-17,76.94999694824219,80.80000305175781,76.5999984741211,79.1500015258789,153256370
2023-10-18,79.9000015258789,80.69999694824219,77.1500015258789,77.5,60210098
2023-10-19,76.0999984741211,78.4000015258789,75.80000305175781,77.5999984741211,36281928
2023-10-20,77.5999984741211,79.25,76.6500015258789,77.05000305175781,34571282
2023-10-23,77.5,77.94999694824219,72,72.19999694824219,59336442
2023-10-25,73.4000015258789,74.9000015258789,68,70.30000305175781,67364514
2023-10-26,68.9000015258789,71.4000015258789,65.75,70.19999694824219,109965024
2023-10-27,71.4000015258789,73.1500015258789,70.44999694824219,71.94999694824219,71117911
2023-10-30,72.44999694824219,73.0999984741211,69.9000015258789,72.75,44719772
